,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
135,arraial do cabo,86,BR,1566701904,81,-22.97,-42.02,66.9,4.76
136,lieksa,5,FI,1566701904,96,63.32,30.02,46.14,2.73
137,akcakoca,1,TR,1566701904,92,41.09,31.12,64.94,0.83
138,sisimiut,35,GL,1566701905,71,66.94,-53.67,42.87,18.28
139,atar,19,MR,1566701905,45,20.52,-13.05,82.23,10.89
140,port hedland,0,AU,1566701906,22,-20.31,118.58,86.0,8.05
141,luanda,42,AO,1566701906,87,-8.83,13.24,68.57,3.78
142,zabid,0,YE,1566701906,64,14.2,44.5,67.46,2.21
143,marfino,0,RU,1566701907,100,56.07,37.56,59.0,8.95
144,souillac,90,FR,1566701907,93,45.6,-0.6,68.0,11.41
145,pucallpa,75,PE,1566701626,88,-8.38,-74.54,73.4,3.36
146,kahului,40,US,1566701624,55,20.89,-156.47,89.6,18.34
147,whitehorse,75,CA,1566701876,76,60.72,-135.06,51.8,4.7
148,codrington,6,AU,1566701908,33,-28.95,153.24,79.0,8.05
149,iqaluit,40,CA,1566701909,81,63.75,-68.52,46.4,9.17
150,catalao,0,BR,1566701909,26,-18.17,-47.95,63.86,5.66
151,beloha,0,MG,1566701910,93,-25.17,45.06,60.99,10.8
152,kristiansund,100,NO,1566701911,87,63.12,7.73,59.0,8.05
153,santa cruz cabralia,20,BR,1566701623,88,-16.28,-39.02,68.0,2.24
154,faanui,0,PF,1566701911,65,-16.48,-151.75,78.42,7.45
155,elmira,1,US,1566701911,93,42.09,-76.81,62.01,3.27
156,baykit,58,RU,1566701912,48,61.68,96.39,63.14,6.53
157,nikolskoye,29,RU,1566701912,93,59.7,30.79,54.0,6.71
158,kidal,37,ML,1566701912,56,18.44,1.41,85.33,6.71
159,chokurdakh,100,RU,1566701913,85,70.62,147.9,56.82,4.34
160,puerto ayora,89,EC,1566701913,91,-0.74,-90.35,70.0,3.0
161,albany,75,US,1566701674,63,42.65,-73.75,66.2,8.05
162,cuenca,90,EC,1566701914,87,-2.9,-79.0,51.8,3.36
163,kruisfontein,0,ZA,1566701914,63,-34.0,24.73,52.12,5.73
164,cap malheureux,75,MU,1566701914,88,-19.98,57.61,69.8,8.05
165,sweetwater,1,US,1566701915,54,32.47,-100.41,84.2,8.05
166,egvekinot,68,RU,1566701915,53,66.32,-179.17,59.64,5.66
167,havoysund,0,NO,1566701915,80,71.0,24.66,39.2,16.11
168,labuhan,98,ID,1566701916,39,-2.54,115.51,96.22,1.57
169,usolye,100,RU,1566701916,100,59.42,56.68,52.0,8.5
170,lazaro cardenas,40,MX,1566701916,65,28.39,-105.62,77.0,5.17
171,mana,100,NG,1566701917,85,13.03,5.27,74.1,11.07
172,kalmunai,99,LK,1566701917,52,7.42,81.82,86.03,2.86
173,forio,0,IT,1566701917,64,40.73,13.86,75.99,3.36
174,karatau,0,KZ,1566701918,29,43.18,70.46,69.54,10.89
175,jining,99,CN,1566701857,77,35.41,116.58,74.75,5.14
176,tual,99,ID,1566701918,81,-5.67,132.75,76.04,15.66
177,upernavik,100,GL,1566701919,68,72.79,-56.15,43.03,9.98
178,francistown,0,BW,1566701919,72,-21.17,27.5,48.83,6.53
179,strezhevoy,75,RU,1566701919,81,60.73,77.6,51.8,13.42
180,tazovskiy,100,RU,1566701919,97,67.47,78.7,47.57,11.59
181,fernie,75,CA,1566701919,35,49.5,-115.06,69.8,10.29
182,ribeira grande,5,PT,1566701920,79,38.52,-28.7,69.51,15.35
183,vanimo,99,PG,1566701920,72,-2.67,141.3,83.01,8.46
184,odienne,99,CI,1566701920,95,9.51,-7.57,67.42,3.6
